ID,Description,Calories,Protein,TotalFat,Carbohydrate,Sugar,Cholesterol,Sodium,Iron,Calcium,SaturatedFat,Potassium,VitaminC,VitaminE,VitaminD
6413,"SOUP,CHICK BROTH,CND,PREP W/ EQ VOLUME H2O",16,2.02,0.57,0.38,0.29,0,306,0.21,4,0.16,86,0,0.02,0
6414,"CAMPBELL'S CHUNKY SOUPS,HEARTY BEAN 'N' HAM SOUP",74,4.49,0.82,12.24,2.04,4,318,0.73,24,0.204,,0,,
6415,"CAMPBELL'S CHUNKY SOUPS,HEARTY BF BARLEY SOUP",65,3.67,0.82,10.61,2.04,4,322,0.44,8,0.204,,0.5,,
6416,"SOUP,CRM OF CHICK,CND,PREP W/ EQ VOLUME H2O",48,1.41,3.02,3.8,,4,347,0.25,14,0.85,36,0.1,,
6417,"SOUP,CHICK GUMBO,CND,PREP W/ EQ VOLUME H2O",23,1.08,0.59,3.43,1.02,2,391,0.37,10,0.13,31,2,0.15,0
6418,"CAMPBELL'S CHUNKY SOUPS,HEARTY CHICK W/ VEG SOUP",45,2.45,0.82,6.94,1.22,6,290,0,8,0.204,,0,,
6419,"SOUP,CHICK NOODLE,CND,PREP W/ EQ VOLUME H2O",25,1.27,0.95,2.95,0.27,5,349,0.66,6,0.262,22,0,0.03,0
6420,"CAMPBELL'S CHUNKY SOUPS,HEARTY VEG W/ PASTA SOUP",51,1.63,0.82,9.39,3.67,2,380,0.44,16,0,,1,,
6421,"CAMPBELL'S CHUNKY SOUPS,HERB RSTD CHICK POTATOES GARLIC SOUP",46,3.27,0.61,6.94,1.63,6,355,0.29,8,0.408,,0,,
6423,"SOUP,CHICK W/ RICE,CND,PREP W/ EQ VOLUME H2O",24,1.45,0.78,2.92,0.08,3,238,0.31,9,0.185,41,0.1,0.03,0
6424,"CAMPBELL'S CHUNKY SOUPS,HONEY RSTD HAM W/ POTATOES SOUP",55,3.27,1.02,8.16,2.86,6,331,0.29,16,0.408,,0.5,,
6425,"SOUP,CHICK VEG,CND,PREP W/ EQ VOLUME H2O",31,1.5,1.18,3.56,0.54,4,392,0.36,7,0.35,64,0.4,0.17,0
6426,"SOUP,CHILI BF,CND,PREP W/ EQ VOLUME H2O",57,2.49,1.24,9.23,2.49,5,388,0.79,18,0.608,196,1.5,0.53,0
6427,"CAMPBELL'S CHUNKY SOUPS,ITALIAN SAUSAGE & PEPPERS SOUP",62,2.86,2.04,8.16,3.27,8,327,0.44,8,0.612,,1,,
6428,"SOUP,CLAM CHOWDER,MANHATTAN,CND,PREP W/EQ VOLUME H2O",30,0.85,0.86,4.77,1.32,1,226,0.64,11,0.149,74,1.6,0.5,0
6429,"CAMPBELL SOUP COMPANY CHUNKY SOUPS,MANHATTAN CLAM CHOWDER",52,2.04,1.43,7.76,1.63,2,339,0.44,16,0.408,,0,,
6430,"SOUP,CLAM CHOWDER,NEW ENGLAND,CND,PREP W/ EQ VOLUME H2O",35,1.55,1.01,5.05,0.19,3,254,1.22,9,0.468,108,2,0.2,0
6431,"CAMPBELL SOUP COMPANY CHUNKY SOUPS,NEW ENGLAND CLAM CHOWDER",81,2.46,3.85,9.01,0,4,353,0.55,12,0.408,115,,,
6432,"SOUP,BF BROTH,BOUILLON,CONSOMME,PREP W/ EQ VOLUME H2O",12,2.22,0,0.73,,0,264,0.22,4,0,64,0.4,,
6433,"CAMPBELL'S CHUNKY SOUPS,OLD FASHIONED POTATO HAM CHOWDER",78,2.45,4.49,6.94,0.41,8,327,0.15,8,1.633,,1,,
6434,"CAMPBELL SOUP COMPANY CHUNKY SOUPS,OLD FASHIONED VEG BF SOUP",49,3.16,1.23,6.24,1.15,6,346,0.54,17,0.408,163,0,,
6435,"CAMPBELL'S CHUNKY SOUPS,PEPPER STEAK SOUP",48,3.27,0.61,7.35,1.63,6,327,0.44,8,0.204,,0.5,,
6436,"CAMPBELL'S CHUNKY SOUPS,PORK RST CARROTS POTATOES SOUP",50,3.27,1.22,6.53,1.22,6,363,0.15,8,0.612,,0,,
6437,"CAMPBELL'S CHUNKY SOUPS,ROADHOUSE - BF BEAN CHILI",95,6.12,3.27,10.2,2.86,10,359,0.73,16,1.429,,0.5,,
6438,"CAMPBELL'S CHUNKY SOUPS,SALISBURY STEAK MUSHRMS ONIONS SOUP",57,2.86,1.84,7.76,2.45,6,327,0.44,8,1.02,,0,,
6439,"CAMPBELL'S CHUNKY SOUPS,SAVORY CHICK WHITE WILD RICE SOUP",45,2.86,0.82,7.35,0.41,4,331,0,8,0.204,,0,,
6440,"SOUP,MINESTRONE,CND,PREP W/ EQ VOLUME H2O",34,1.77,1.04,4.66,,1,254,0.38,14,0.23,130,0.5,,
6441,"CAMPBELL'S CHUNKY SOUPS,SAVORY POT RST SOUP",49,2.86,0.41,8.16,1.63,4,322,0.29,8,0.204,,0.5,,
